DSBM,20200622,355.74,359.55,352.84,358.09,123122100
DSBS,20200622,166.12,168.74,165.57,167.12,82283100
DSBT,20200622,2435.94,2438.33,2402.55,2429.48,85698700
DSBV,20200622,745.56,749.68,740.58,745.48,32290200
DSCA,20200622,621.79,623.7,603.4,616.47,59772100
DSCC,20200622,461.15,465.59,457.05,463.2,14852700
DSCF,20200622,273.86,278.91,269.75,277.43,41214600
DSCG,20200622,986.42,995.29,976.83,994.01,560501100
DSCH,20200622,584.67,591.22,578.25,588.6,40839000
DSCL,20200622,5.79,5.91,5.62,5.77,1744300
DSCM,20200622,610.85,611.2,605.85,608.55,18513300
DSCN,20200622,704.27,714.66,698.13,713.48,34847000
DSCP,20200622,356.7,356.84,351.81,355.42,27749400
DSCR,20200622,4405.95,4497.45,4405.94,4492.47,85695100
DSCS,20200622,1635.08,1647.24,1615.32,1641.54,19458300
DSCT,20200622,1205.91,1218.18,1199.86,1210.95,48453100
DSCX,20200622,852.22,863.23,840.81,860.07,25986300
DSCY,20200622,1166.2,1176.14,1161.6,1175.62,925731400
DSDB,20200622,523.77,526.31,517.44,525.76,1874900
DSDN,20200622,427.6,431.74,424.16,430.7,7578700
DSDR,20200622,675.49,679.96,671.8,677.9,29623700
DSDS,20200622,352.96,357.63,349.28,356.68,6832200
DSDT,20200622,58.88,58.88,57.16,58.63,12689700
DSDV,20200622,155.34,156.23,154.43,155.42,23499400
DSEC,20200622,332.39,335.9,328.4,335.32,22171900
DSEE,20200622,424.16,426.9,417.93,425.81,34307300
DSEH,20200622,43.9,44.27,42.43,43.82,528900
DSEN,20200622,322.21,324.89,317.1,324.04,314696500
DSES,20200622,214.35,216.4,211.86,216.06,2270100
DSEU,20200622,270.14,275.3,268.07,273.88,71158100
DSFA,20200622,647.09,660.89,646.37,659.17,53644100
DSFB,20200622,606.03,608.52,602.65,605.5,83887600
DSFC,20200622,137.26,137.95,136.63,137.08,29536100
DSFD,20200622,494.26,498.37,493.06,497.15,22257300
DSFE,20200622,622.74,630.36,617.15,627.76,24907100
DSFH,20200622,246.38,247.86,241.57,246.75,3419500
DSFI,20200622,1130.21,1142.57,1122.88,1137.63,137349400
DSFN,20200622,553.25,557.41,549.24,555.36,759620500
DSFO,20200622,372.65,373.63,370.05,371.94,51597400
DSFP,20200622,515.61,516.98,512.01,514.64,51597400
DSFR,20200622,101.6,101.6,99.04,99.27,1652500
DSFT,20200622,1736.19,1800.82,1736.19,1800.59,9642700
DSFV,20200622,605.41,611.72,601.55,607.89,0
DSGF,20200622,1267,1280.88,1258.8,1275.34,137349400
DSGI,20200622,387.7,387.76,381.84,385.8,115387100
DSGT,20200622,1875.79,1899.62,1873.61,1899.5,181030700
DSGU,20200622,254.4,258.29,251.46,256.75,5801400
DSHB,20200622,913.83,923.69,900.31,921.12,11058000
DSHC,20200622,1101.89,1102.99,1089.71,1101.37,247985800
DSHD,20200622,208.8,211.43,206.68,210.67,4573900
DSHG,20200622,746.88,748.08,740.92,743.38,28802800
DSHI,20200622,510.18,518.2,509.67,516.71,10228500
DSHL,20200622,58.8,58.89,56.67,58.11,45585900
DSHN,20200622,965.21,966.69,954.08,957.03,9751100
DSHP,20200622,2122.55,2130.84,2093.65,2126.1,36139600
DSHR,20200622,1886.59,1896.51,1864.76,1891.6,12762200
DSHV,20200622,387.51,393.81,381.26,392.53,7146800
DSIB,20200622,381.21,391.3,381.21,388.78,4286100
DSID,20200622,408.65,408.69,402.18,406.45,87637600
DSIF,20200622,31.17,31.62,30.84,31.35,7771600
DSIG,20200622,781.67,789.2,774.78,787.08,377610300
DSIL,20200622,576.36,581.19,569.05,576,27408400
DSIM,20200622,145.12,147.7,144.19,146.79,64139100
DSIN,20200622,727.06,734.37,720.74,732.46,412457300
DSIO,20200622,103.08,104.26,101.42,104.2,52954800
DSIP,20200622,772.24,780.66,767.58,775.63,23967900
DSIQ,20200622,1856.8,1873.6,1838.84,1867.21,37669300
DSIR,20200622,549.25,554.2,546.99,551.97,70594500
DSIS,20200622,670.01,682.25,668.11,680.71,83552000
DSIT,20200622,1048.63,1053.03,1036.49,1050.68,25236600
DSIU,20200622,229.31,231.8,228.24,229.87,7160400
DSIV,20200622,746.95,757.42,741.79,754.95,15015800
DSIX,20200622,533.97,539.1,532.46,537.07,43186100
DSLE,20200622,760.57,763.91,757.1,760.89,43751300
DSLG,20200622,1514.62,1534.69,1493.84,1527.03,13318300
DSLW,20200622,1059.06,1068.61,1051.29,1066.43,0
DSMC,20200622,1681.59,1685.35,1661.87,1682.52,91258900
DSME,20200622,903.32,907.82,896.78,904.85,154575700
DSMF,20200622,6.04,6.19,5.94,6.17,11163500
DSMG,20200622,121.56,124.92,120.95,121.74,16491500
DSMR,20200622,32.96,33.11,32.37,33.06,82768700
DSMS,20200622,940.29,945.17,929.68,940.3,7821200
DSMT,20200622,178.9,179.75,177.03,179.62,361800
DSMU,20200622,193.59,196.8,192.79,195.49,20315600
DSNC,20200622,642.24,643.64,638.56,642.34,348974200
DSNF,20200622,140.46,145.81,140.46,144.34,17152700
DSNG,20200622,789.38,792.44,785.24,790.67,152787100
DSNS,20200622,2199.25,2224.59,2192.94,2224.17,96305100
